iter	Passed	Remaining
956	27236	1223
957	27264	1195
958	27292	1166
959	27320	1138
960	27347	1109
961	27375	1081
962	27405	1052
963	27432	1024
964	27460	995
965	27489	967
966	27517	939
967	27546	910
968	27575	882
969	27604	853
970	27634	825
971	27664	796
972	27691	768
973	27719	739
974	27748	711
975	27776	683
976	27804	654
977	27832	626
978	27863	597
979	27892	569
980	27924	540
981	27953	512
982	27983	483
983	28012	455
984	28041	427
985	28070	398
986	28099	370
987	28128	341
988	28156	313
989	28184	284
990	28214	256
991	28241	227
992	28269	199
993	28297	170
994	28328	142
995	28357	113
996	28385	85
997	28414	56
998	28444	28
999	28474	0
